species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-79.369869,35.147866
Lithobates catesbeianus,-118.808199,34.351196
Lithobates catesbeianus,-99.572079,32.269884
Lithobates catesbeianus,-122.369812,39.812428
Lithobates catesbeianus,-92.407295,38.963925
Lithobates catesbeianus,-86.414575,38.739194
Lithobates catesbeianus,-123.140711,45.526663
Lithobates catesbeianus,-86.926304,31.128731
Lithobates catesbeianus,-95.849343,29.790294
Lithobates catesbeianus,-65.695357,18.363063
Lithobates catesbeianus,-118.998734,36.71928
Lithobates catesbeianus,-123.46471,48.465144
Lithobates catesbeianus,-159.338639,22.01027
Lithobates catesbeianus,-123.235687,44.606514
Lithobates catesbeianus,-76.255188,45.387813
Lithobates catesbeianus,-79.678125,35.189288
Lithobates catesbeianus,-117.113801,33.039789
Lithobates catesbeianus,-118.882125,36.789388
Lithobates catesbeianus,-90.13565,30.54357
Lithobates catesbeianus,-95.292013,29.435703
Lithobates catesbeianus,-90.520049,30.480656
Lithobates catesbeianus,-106.71107,34.776078
Lithobates catesbeianus,-92.039383,37.559697
Lithobates catesbeianus,-83.670662,41.360947
Lithobates catesbeianus,-119.100287,35.33353
Lithobates catesbeianus,-73.58963,45.119697
Lithobates catesbeianus,-79.318456,39.575371
Lithobates catesbeianus,-93.429808,41.792237
Lithobates catesbeianus,-84.729581,38.996813
Lithobates catesbeianus,-95.072729,29.595363
Lithobates catesbeianus,-76.726617,44.794395
Lithobates catesbeianus,-95.129789,29.572246
Lithobates catesbeianus,-79.606579,35.190209
Lithobates catesbeianus,-94.139503,30.007592
Lithobates catesbeianus,-83.216667,39.894255
Lithobates catesbeianus,-97.327197,37.362793
Lithobates catesbeianus,-83.725092,41.790483
Lithobates catesbeianus,-79.14656,39.601064
Lithobates catesbeianus,-122.277825,46.946456
Lithobates catesbeianus,-67.103495,18.012357
Lithobates catesbeianus,-81.721223,33.531255
Lithobates catesbeianus,-80.016076,35.881782
Lithobates catesbeianus,-78.967747,36.046457
Lithobates catesbeianus,-95.739138,38.5227
Lithobates catesbeianus,-72.67768,45.418358
Lithobates catesbeianus,-85.282605,35.042577
Lithobates catesbeianus,-81.968628,28.498353
Lithobates catesbeianus,-82.971863,39.809628
Lithobates catesbeianus,-82.6447,29.3315
Lithobates catesbeianus,-86.612215,36.304141
Lithobates catesbeianus,-104.861995,39.819523
Lithobates catesbeianus,-100.082566,37.884102
Lithobates catesbeianus,-88.085747,39.50482
Lithobates catesbeianus,-84.501469,36.131942
Lithobates catesbeianus,-99.307984,38.897845
Lithobates catesbeianus,-79.953756,33.052044
Lithobates catesbeianus,-87.633054,41.918185
Lithobates catesbeianus,-73.794852,40.728224
Lithobates catesbeianus,-79.61335,35.051347
Lithobates catesbeianus,-69.946715,43.871715
Lithobates catesbeianus,-117.240627,33.240119
Lithobates catesbeianus,-121.832437,37.504246
Lithobates catesbeianus,-78.319093,37.3103
Lithobates catesbeianus,-71.09406,42.834636
Lithobates catesbeianus,-122.413328,39.097687
Lithobates catesbeianus,-76.142217,36.868567
Lithobates catesbeianus,-82.047461,28.48145
Lithobates catesbeianus,-105.100495,40.082508
Lithobates catesbeianus,-81.355007,35.221855
Lithobates catesbeianus,-81.927829,29.290866
Lithobates catesbeianus,-120.281904,37.383889
Lithobates catesbeianus,-81.641442,40.672587
Lithobates catesbeianus,-118.648745,34.41752
Lithobates catesbeianus,-79.036286,39.989742
Lithobates catesbeianus,-83.945245,33.511795
Lithobates catesbeianus,-83.859877,34.152116
Lithobates catesbeianus,-117.256845,34.339172
Lithobates catesbeianus,-69.842597,44.048603
Lithobates catesbeianus,-74.443292,40.044792
Lithobates catesbeianus,-84.554159,34.321017
Lithobates catesbeianus,-122.155366,45.396461
Lithobates catesbeianus,-75.935722,38.954033
Lithobates catesbeianus,-124.484353,49.929117
Lithobates catesbeianus,-77.533642,38.268587
Lithobates catesbeianus,-93.272556,37.224319
Lithobates catesbeianus,-75.890059,40.499461
Lithobates catesbeianus,-122.603997,49.140659
Lithobates catesbeianus,-85.365839,35.011381
Lithobates catesbeianus,-89.773615,35.26753
Lithobates catesbeianus,-88.86642,33.42128
Lithobates catesbeianus,-92.380904,34.987187
Lithobates catesbeianus,-95.404244,32.412112
Lithobates catesbeianus,-80.768846,35.15772
