species,decimalLongitude,decimalLatitude
Lithobates catesbeianus,-80.006356,40.118831
Lithobates catesbeianus,-93.744534,38.74295
Lithobates catesbeianus,-79.35598,39.442921
Lithobates catesbeianus,-96.862107,35.366176
Lithobates catesbeianus,-82.400305,28.096233
Lithobates catesbeianus,-79.96937,33.243863
Lithobates catesbeianus,-86.35186,35.846912
Lithobates catesbeianus,-98.22226,31.058887
Lithobates catesbeianus,-117.223292,33.751214
Lithobates catesbeianus,-122.206692,37.859047
Lithobates catesbeianus,-80.139301,37.150822
Lithobates catesbeianus,-83.07797,42.265788
Lithobates catesbeianus,-118.7287,34.097564
Lithobates catesbeianus,-93.699315,32.484077
Lithobates catesbeianus,-117.845549,34.043068
Lithobates catesbeianus,-96.825041,33.124894
Lithobates catesbeianus,-99.264903,29.998261
Lithobates catesbeianus,-84.33245,34.162086
Lithobates catesbeianus,-80.384727,36.958901
Lithobates catesbeianus,-69.38572,44.447575
Lithobates catesbeianus,-72.277633,42.900917
Lithobates catesbeianus,-82.605223,35.49585
Lithobates catesbeianus,-94.390563,29.57347
Lithobates catesbeianus,-123.115501,45.455211
Lithobates catesbeianus,-78.420256,38.143767
Lithobates catesbeianus,-77.512493,37.544057
Lithobates catesbeianus,-121.408946,37.408926
Lithobates catesbeianus,-80.018339,35.094507
Lithobates catesbeianus,-83.304222,30.286603
Lithobates catesbeianus,-84.225369,39.654403
Lithobates catesbeianus,-72.057064,42.844888
Lithobates catesbeianus,-74.777541,39.878283
Lithobates catesbeianus,-83.554829,33.77098
Lithobates catesbeianus,-97.172155,30.095008
Lithobates catesbeianus,-123.243346,44.360183
Lithobates catesbeianus,-121.622345,37.562618
Lithobates catesbeianus,-123.637928,40.953322
Lithobates catesbeianus,-117.798891,33.634444
Lithobates catesbeianus,-76.69925,37.275173
Lithobates catesbeianus,-81.03283,35.602538
Lithobates catesbeianus,-119.356377,36.30182
Lithobates catesbeianus,-84.479856,39.259757
Lithobates catesbeianus,-123.00156,44.89763
Lithobates catesbeianus,-83.969417,30.203156
Lithobates catesbeianus,-86.799063,38.934014
Lithobates catesbeianus,-75.118545,39.709675
